purchase_date,category,sub_category,quantity,price,promo_code,total_price,sales_after_promo
2022-07-04,Electronics,Mesin Laminating,3,185000,GRATIS_ONGKIR,555000,550000
2022-07-05,Kitchen Equipment,Pompa Galon,1,110000,GRATIS_ONGKIR,110000,105000
2022-07-05,Kitchen Equipment,Regulator & Penghemat Gas,3,97500,NOT_USED,292500,
2022-07-05,Kitchen Equipment,Regulator & Penghemat Gas,1,97500,NOT_USED,97500,
2022-07-05,Fashion Wanita,Vest Wanita,3,54900,GRATIS_ONGKIR,164700,159700
2022-07-05,Fashion Pria,Vest Pria,1,75999,NOT_USED,75999,
2022-07-05,Kitchen Equipment,Regulator & Penghemat Gas,3,161999,NOT_USED,485997,
2022-07-05,Electronics,Laser Pointer,3,128000,NOT_USED,384000,
2022-07-05,Electronics,Mesin Laminating,1,269000,NOT_USED,269000,
2022-07-05,Electronics,Mesin Penghancur Kertas,3,699000,GRATIS_ONGKIR,2097000,2092000
2022-07-05,Kitchen Equipment,Pompa Galon,2,36000,NOT_USED,72000,
2022-07-05,Fashion Wanita,Hoodie Wanita,1,100000,NOT_USED,100000,
2022-07-05,Medicine,Obat Alergi,1,13135,GRATIS_ONGKIR,13135,8135
2022-07-05,Kitchen Equipment,Dispenser Air,1,1415000,NOT_USED,1415000,
2022-07-05,Fashion Pria,Vest Pria,1,85000,NOT_USED,85000,
2022-07-05,Electronics,Laser Pointer,2,47900,NOT_USED,95800,
2022-07-05,Kitchen Equipment,Pompa Galon,2,79900,GRATIS_ONGKIR,159800,154800
2022-07-05,Electronics,Mesin Penghancur Kertas,2,59800,GRATIS_ONGKIR,119600,114600
2022-07-05,Medicine,Obat Sakit Kepala & Demam,2,217999,GRATIS_ONGKIR,435998,430998
2022-07-05,Kitchen Equipment,Timbangan Dapur,1,43000,NOT_USED,43000,
2022-07-05,Fashion Wanita,Cardigan Wanita,2,47000,NOT_USED,94000,
2022-07-05,Fashion Pria,Jaket Pria,1,185000,GRATIS_ONGKIR,185000,180000
2022-07-05,Kitchen Equipment,Rak Dapur,1,169000,NOT_USED,169000,
2022-07-06,Fashion Pria,Vest Pria,2,69500,NOT_USED,139000,
2022-07-06,Kitchen Equipment,Dispenser Air,3,1659000,GRATIS_ONGKIR,4977000,4972000
2022-07-06,Fashion Wanita,Blazer Wanita,1,162500,GRATIS_ONGKIR,162500,157500
2022-07-06,Medicine,Obat Batuk & Pilek,1,25500,GRATIS_ONGKIR,25500,20500
2022-07-06,Kitchen Equipment,Timbangan Dapur,2,43000,GRATIS_ONGKIR,86000,81000
2022-07-06,Medicine,Obat Lainnya,3,21724,GRATIS_ONGKIR,65172,60172
2022-07-06,Kitchen Equipment,Regulator & Penghemat Gas,2,65500,NOT_USED,131000,
2022-07-06,Medicine,Obat Lainnya,3,23214,GRATIS_ONGKIR,69642,64642
2022-07-06,Electronics,Layar Proyektor,2,110000,GRATIS_ONGKIR,220000,215000
2022-07-06,Kitchen Equipment,Rak Dapur,1,169000,NOT_USED,169000,
2022-07-06,Medicine,Obat Alergi,1,25260,GRATIS_ONGKIR,25260,20260
2022-07-06,Medicine,Obat Lainnya,2,246500,NOT_USED,493000,
2022-07-06,Fashion Pria,Jaket Pria,1,128000,GRATIS_ONGKIR,128000,123000
2022-07-06,Kitchen Equipment,Regulator & Penghemat Gas,3,74950,GRATIS_ONGKIR,224850,219850
2022-07-06,Fashion Wanita,Blazer Wanita,1,109000,GRATIS_ONGKIR,109000,104000
2022-07-06,Medicine,Obat Asma,3,93000,GRATIS_ONGKIR,279000,274000
2022-07-06,Fashion Pria,Vest Pria,1,39500,NOT_USED,39500,
2022-07-06,Medicine,Obat Bayi,3,159600,GRATIS_ONGKIR,478800,473800
2022-07-06,Make-up,Setting Spray,1,157500,GRATIS_ONGKIR,157500,152500
2022-07-06,Fashion Wanita,Hoodie Wanita,2,100000,NOT_USED,200000,
2022-07-06,Kitchen Equipment,Timbangan Dapur,2,31000,NOT_USED,62000,
2022-07-06,Make-up,Highlighter,3,89000,NOT_USED,267000,
2022-07-06,Electronics,Mesin Jilid,3,59999,GRATIS_ONGKIR,179997,174997
2022-07-06,Kitchen Equipment,Regulator & Penghemat Gas,3,79000,GRATIS_ONGKIR,237000,232000
2022-07-06,Kitchen Equipment,Alat Pembuka Kaleng,1,55550,NOT_USED,55550,
2022-07-07,Electronics,Laser Pointer,1,55000,NOT_USED,55000,
2022-07-07,Electronics,Layar Proyektor,1,99000,GRATIS_ONGKIR,99000,94000
2022-07-07,Medicine,Obat Lainnya,3,18455,GRATIS_ONGKIR,55365,50365
2022-07-07,Make-up,Blush On,2,53000,NOT_USED,106000,
2022-07-07,Medicine,Obat Diabetes,3,25000,GRATIS_ONGKIR,75000,70000
2022-07-07,Make-up,Foundation,1,49875,NOT_USED,49875,
2022-07-07,Medicine,Obat Lainnya,3,19425,NOT_USED,58275,
2022-07-07,Fashion Pria,Jaket Pria,2,130000,NOT_USED,260000,
2022-07-07,Make-up,Foundation,1,135290,GRATIS_ONGKIR,135290,130290
2022-07-07,Kitchen Equipment,Timbangan Dapur,3,30600,NOT_USED,91800,
2022-07-07,Make-up,Concealer & Color Corrector,1,35200,NOT_USED,35200,
2022-07-07,Fashion Wanita,Cardigan Wanita,1,650000,GRATIS_ONGKIR,650000,645000
2022-07-07,Fashion Wanita,Cardigan Wanita,1,142000,GRATIS_ONGKIR,142000,137000
2022-07-07,Make-up,Bedak Wajah,3,77250,GRATIS_ONGKIR,231750,226750
2022-07-07,Make-up,Foundation,2,99000,GRATIS_ONGKIR,198000,193000
2022-07-07,Medicine,Obat Lainnya,1,129500,GRATIS_ONGKIR,129500,124500
2022-07-07,Fashion Wanita,Cardigan Wanita,1,30000,NOT_USED,30000,
2022-07-07,Electronics,Mesin Jilid,2,64020,NOT_USED,128040,
2022-07-07,Make-up,Bedak Wajah,2,72680,GRATIS_ONGKIR,145360,140360
2022-07-07,Fashion Wanita,Jacket Wanita,1,189000,GRATIS_ONGKIR,189000,184000
2022-07-07,Medicine,Obat Lainnya,3,98969,GRATIS_ONGKIR,296907,291907
2022-07-07,Kitchen Equipment,Regulator & Penghemat Gas,2,3300,NOT_USED,6600,
2022-07-07,Kitchen Equipment,Pompa Galon,2,68888,NOT_USED,137776,
2022-07-07,Fashion Wanita,Blazer Wanita,3,65000,NOT_USED,195000,
2022-07-08,Medicine,Obat Alergi,1,25260,GRATIS_ONGKIR,25260,20260
2022-07-08,Fashion Pria,Vest Pria,3,260000,GRATIS_ONGKIR,780000,775000
2022-07-08,Kitchen Equipment,Alat Pembuka Kaleng,2,55550,NOT_USED,111100,
2022-07-08,Medicine,Obat Batuk & Pilek,3,19900,NOT_USED,59700,
2022-07-08,Make-up,Foundation,2,150000,GRATIS_ONGKIR,300000,295000
2022-07-08,Electronics,Mesin Absensi,1,415000,NOT_USED,415000,
2022-07-08,Electronics,Laser Pointer,2,159000,NOT_USED,318000,
2022-07-08,Fashion Wanita,Blazer Wanita,2,675000,NOT_USED,1350000,
2022-07-08,Kitchen Equipment,Regulator & Penghemat Gas,1,94000,NOT_USED,94000,
2022-07-08,Make-up,Bedak Wajah,3,108750,NOT_USED,326250,
2022-07-08,Kitchen Equipment,Pompa Galon,1,26000,GRATIS_ONGKIR,26000,21000
2022-07-08,Fashion Pria,Vest Pria,1,75999,NOT_USED,75999,
2022-07-08,Medicine,Obat Sakit Kepala & Demam,2,217999,NOT_USED,435998,
2022-07-08,Kitchen Equipment,Regulator & Penghemat Gas,3,135000,GRATIS_ONGKIR,405000,400000
2022-07-08,Make-up,Concealer & Color Corrector,3,22900,NOT_USED,68700,
2022-07-08,Fashion Pria,Jaket Pria,2,169000,GRATIS_ONGKIR,338000,333000
2022-07-08,Kitchen Equipment,Pompa Galon,3,22000,NOT_USED,66000,
2022-07-08,Fashion Pria,Sweater Pria,2,60500,NOT_USED,121000,
2022-07-08,Fashion Wanita,Blazer Wanita,3,249000,NOT_USED,747000,
2022-07-08,Electronics,Mesin Absensi,1,400000,GRATIS_ONGKIR,400000,395000
2022-07-08,Medicine,Obat Sakit Kepala & Demam,3,67570,NOT_USED,202710,
2022-07-08,Fashion Wanita,Blazer Wanita,2,55000,GRATIS_ONGKIR,110000,105000
2022-07-08,Medicine,Obat Diabetes,2,275000,GRATIS_ONGKIR,550000,545000
2022-07-08,Fashion Pria,Jaket Pria,3,140000,GRATIS_ONGKIR,420000,415000
2022-07-08,Kitchen Equipment,Regulator & Penghemat Gas,2,3300,GRATIS_ONGKIR,6600,1600
2022-07-08,Medicine,Obat Batuk & Pilek,2,24500,GRATIS_ONGKIR,49000,44000
2022-07-08,Medicine,Obat Lainnya,2,72500,NOT_USED,145000,
2022-07-08,Kitchen Equipment,Regulator & Penghemat Gas,2,103900,NOT_USED,207800,
2022-07-08,Medicine,Obat Batuk & Pilek,1,21500,NOT_USED,21500,
2022-07-08,Make-up,Setting Spray,2,157500,NOT_USED,315000,
2022-07-09,Kitchen Equipment,Timbangan Dapur,1,30999,GRATIS_ONGKIR,30999,25999
2022-07-09,Make-up,Setting Spray,2,45900,GRATIS_ONGKIR,91800,86800
2022-07-09,Kitchen Equipment,Pompa Galon,2,34000,GRATIS_ONGKIR,68000,63000
2022-07-09,Electronics,Mesin Laminating,3,78790,NOT_USED,236370,
2022-07-09,Fashion Pria,Jaket Pria,1,229000,NOT_USED,229000,
2022-07-09,Fashion Wanita,Jaket Parka Wanita,1,78000,NOT_USED,78000,
2022-07-09,Electronics,Mesin Jilid,3,100000,NOT_USED,300000,
2022-07-09,Electronics,Mesin Hitung Uang,2,1990000,GRATIS_ONGKIR,3980000,3975000
2022-07-09,Electronics,Mesin Kasir,1,260000,NOT_USED,260000,
2022-07-09,Kitchen Equipment,Regulator & Penghemat Gas,2,60000,GRATIS_ONGKIR,120000,115000
2022-07-09,Medicine,Obat Kulit,3,96994,GRATIS_ONGKIR,290982,285982
2022-07-09,Make-up,Setting Spray,3,157500,GRATIS_ONGKIR,472500,467500
2022-07-09,Fashion Wanita,Jaket Parka Wanita,3,88500,NOT_USED,265500,
2022-07-09,Fashion Wanita,Coat Wanita,2,220000,NOT_USED,440000,
2022-07-09,Make-up,Blush On,2,42660,NOT_USED,85320,
2022-07-09,Make-up,Cushion,2,98750,NOT_USED,197500,
2022-07-09,Kitchen Equipment,Alat Pembuka Kaleng,1,35000,NOT_USED,35000,
2022-07-09,Medicine,Obat Alergi,1,278500,NOT_USED,278500,
2022-07-09,Fashion Pria,Jaket Pria,2,229000,NOT_USED,458000,
2022-07-09,Fashion Wanita,Hoodie Wanita,3,129900,NOT_USED,389700,
2022-07-09,Make-up,Face Primer,2,58000,GRATIS_ONGKIR,116000,111000
2022-07-09,Fashion Wanita,Jacket Wanita,2,358000,GRATIS_ONGKIR,716000,711000
2022-07-09,Make-up,Cushion,2,145000,GRATIS_ONGKIR,290000,285000
2022-07-09,Medicine,Obat Lainnya,3,98969,GRATIS_ONGKIR,296907,291907
2022-07-09,Electronics,Mesin Hitung Uang,3,1990000,GRATIS_ONGKIR,5970000,5965000
2022-07-09,Electronics,Kartu RFID,1,1670,NOT_USED,1670,
2022-07-09,Kitchen Equipment,Timbangan Dapur,2,26888,NOT_USED,53776,
2022-07-09,Electronics,Mesin Penghancur Kertas,3,231000,NOT_USED,693000,
2022-07-09,Electronics,Mesin Jilid,1,64020,NOT_USED,64020,
2022-07-09,Electronics,Mesin Jilid,3,64020,NOT_USED,192060,
2022-07-09,Medicine,Obat Sakit Kepala & Demam,2,1850,NOT_USED,3700,
2022-07-09,Fashion Wanita,Blazer Wanita,1,49400,NOT_USED,49400,
2022-07-09,Fashion Wanita,Hoodie Wanita,1,56900,GRATIS_ONGKIR,56900,51900
2022-07-09,Fashion Pria,Jaket Pria,3,199999,GRATIS_ONGKIR,599997,594997
2022-07-09,Make-up,Bedak Wajah,3,115000,NOT_USED,345000,
2022-07-09,Fashion Pria,Jaket Pria,1,169000,GRATIS_ONGKIR,169000,164000
2022-07-10,Fashion Wanita,Cardigan Wanita,3,39900,GRATIS_ONGKIR,119700,114700
2022-07-10,Kitchen Equipment,Water Purifier,3,2850000,GRATIS_ONGKIR,8550000,8545000
2022-07-10,Medicine,Obat Kulit,3,40684,NOT_USED,122052,
2022-07-10,Fashion Pria,Jaket Pria,2,189900,NOT_USED,379800,
2022-07-10,Electronics,Mesin Absensi,1,415000,GRATIS_ONGKIR,415000,410000
2022-07-10,Kitchen Equipment,Timbangan Dapur,3,52000,GRATIS_ONGKIR,156000,151000
2022-07-10,Kitchen Equipment,Timbangan Dapur,3,30600,NOT_USED,91800,
2022-07-10,Kitchen Equipment,Timbangan Dapur,1,30600,GRATIS_ONGKIR,30600,25600
2022-07-10,Kitchen Equipment,Rak Dapur,1,22900,NOT_USED,22900,
2022-07-10,Fashion Wanita,Cardigan Wanita,2,50000,NOT_USED,100000,
2022-07-10,Make-up,Cushion,2,19900,NOT_USED,39800,
2022-07-10,Make-up,Cushion,3,178322,NOT_USED,534966,
2022-07-10,Electronics,Kartu RFID,2,1400,NOT_USED,2800,
2022-07-10,Fashion Pria,Vest Pria,3,260000,GRATIS_ONGKIR,780000,775000
2022-07-10,Make-up,Concealer & Color Corrector,3,116250,NOT_USED,348750,
2022-07-10,Electronics,Mesin Absensi,1,480000,NOT_USED,480000,
2022-07-10,Electronics,Mesin Hitung Uang,1,64000,GRATIS_ONGKIR,64000,59000
2022-07-10,Medicine,Obat Sakit Kepala & Demam,1,67570,NOT_USED,67570,
2022-07-10,Fashion Wanita,Hoodie Wanita,2,100000,NOT_USED,200000,
2022-07-10,Kitchen Equipment,Regulator & Penghemat Gas,2,104000,GRATIS_ONGKIR,208000,203000
2022-07-10,Kitchen Equipment,Pompa Galon,1,25000,NOT_USED,25000,
2022-07-10,Electronics,Mesin Kasir,2,375000,GRATIS_ONGKIR,750000,745000
2022-07-10,Fashion Wanita,Coat Wanita,2,220000,GRATIS_ONGKIR,440000,435000
2022-07-10,Electronics,LED Proyektor,3,2920000,NOT_USED,8760000,
2022-07-10,Medicine,Obat Alergi,2,33343,NOT_USED,66686,
2022-07-10,Fashion Wanita,Sweater Wanita,3,31500,GRATIS_ONGKIR,94500,89500
2022-07-10,Make-up,Face Primer,3,76000,NOT_USED,228000,
2022-07-10,Kitchen Equipment,Pompa Galon,1,24900,NOT_USED,24900,
2022-07-10,Medicine,Obat Herbal,2,145000,NOT_USED,290000,
2022-07-11,Make-up,Foundation,1,135290,GRATIS_ONGKIR,135290,130290
2022-07-11,Kitchen Equipment,Regulator & Penghemat Gas,3,97500,GRATIS_ONGKIR,292500,287500
2022-07-11,Fashion Pria,Coat Pria,2,193800,GRATIS_ONGKIR,387600,382600
2022-07-11,Fashion Wanita,Blazer Wanita,3,75900,GRATIS_ONGKIR,227700,222700
2022-07-11,Fashion Pria,Cardigan Pria,3,479000,NOT_USED,1437000,
2022-07-11,Fashion Pria,Jaket Pria,3,189900,GRATIS_ONGKIR,569700,564700
2022-07-11,Fashion Wanita,Jacket Wanita,2,62400,GRATIS_ONGKIR,124800,119800
2022-07-11,Fashion Pria,Sweater Pria,2,60000,NOT_USED,120000,
2022-07-11,Make-up,Cushion,2,168750,GRATIS_ONGKIR,337500,332500
2022-07-11,Fashion Pria,Jaket Pria,2,128000,GRATIS_ONGKIR,256000,251000
2022-07-11,Make-up,Setting Spray,3,27000,NOT_USED,81000,
2022-07-11,Medicine,Obat Alergi,3,269425,GRATIS_ONGKIR,808275,803275
2022-07-11,Medicine,Obat Jantung,2,39001,NOT_USED,78002,
2022-07-11,Make-up,Setting Spray,1,157500,GRATIS_ONGKIR,157500,152500
2022-07-11,Make-up,CC Cream,1,165000,NOT_USED,165000,
2022-07-11,Electronics,Laser Pointer,2,55000,GRATIS_ONGKIR,110000,105000
2022-07-11,Fashion Pria,Coat Pria,3,149900,NOT_USED,449700,
2022-07-11,Fashion Wanita,Blazer Wanita,2,675000,NOT_USED,1350000,
2022-07-11,Medicine,Obat Kulit,1,175000,NOT_USED,175000,
2022-07-11,Fashion Wanita,Blazer Wanita,1,65000,NOT_USED,65000,
2022-07-11,Kitchen Equipment,Pompa Galon,2,68888,GRATIS_ONGKIR,137776,132776
2022-07-11,Fashion Pria,Jaket Pria,1,124900,GRATIS_ONGKIR,124900,119900
2022-07-11,Kitchen Equipment,Pompa Galon,3,37990,NOT_USED,113970,
2022-07-11,Medicine,Obat Lainnya,1,23214,NOT_USED,23214,
2022-07-11,Fashion Pria,Jaket Pria,3,160000,NOT_USED,480000,
2022-07-11,Make-up,Cushion,2,19900,GRATIS_ONGKIR,39800,34800
2022-07-11,Kitchen Equipment,Pompa Galon,1,68888,GRATIS_ONGKIR,68888,63888
2022-07-11,Make-up,Setting Spray,1,45900,NOT_USED,45900,
2022-07-11,Kitchen Equipment,Water Purifier,3,376000,NOT_USED,1128000,
2022-07-11,Make-up,Foundation,3,62000,GRATIS_ONGKIR,186000,181000
2022-07-12,Fashion Wanita,Jacket Wanita,1,155000,NOT_USED,155000,
2022-07-12,Fashion Pria,Hoodie  Pria,2,199999,GRATIS_ONGKIR,399998,394998
2022-07-12,Fashion Pria,Jaket Pria,1,125100,NOT_USED,125100,
2022-07-12,Kitchen Equipment,Pompa Galon,3,22000,NOT_USED,66000,
2022-07-12,Make-up,Foundation,3,36975,NOT_USED,110925,
2022-07-12,Kitchen Equipment,Water Purifier,3,2850000,NOT_USED,8550000,
2022-07-12,Make-up,Face Primer,3,179000,NOT_USED,537000,
2022-07-12,Fashion Wanita,Blazer Wanita,3,170050,NOT_USED,510150,
2022-07-12,Kitchen Equipment,Sarung Kulkas,2,35000,GRATIS_ONGKIR,70000,65000
2022-07-12,Fashion Pria,Vest Pria,1,80000,NOT_USED,80000,
2022-07-12,Make-up,Concealer & Color Corrector,1,35200,GRATIS_ONGKIR,35200,30200
2022-07-12,Make-up,Cushion,3,157250,GRATIS_ONGKIR,471750,466750
2022-07-12,Kitchen Equipment,Regulator & Penghemat Gas,3,3300,NOT_USED,9900,
2022-07-12,Medicine,Obat Kulit,1,175000,GRATIS_ONGKIR,175000,170000
2022-07-12,Electronics,Laser Pointer,1,39900,NOT_USED,39900,
2022-07-12,Medicine,Obat Lainnya,3,9200,GRATIS_ONGKIR,27600,22600
2022-07-12,Make-up,Bedak Wajah,1,159000,GRATIS_ONGKIR,159000,154000
2022-07-12,Kitchen Equipment,Regulator & Penghemat Gas,2,64000,GRATIS_ONGKIR,128000,123000
2022-07-12,Kitchen Equipment,Rak Dapur,1,279000,NOT_USED,279000,
2022-07-12,Kitchen Equipment,Dispenser Air,1,1415000,GRATIS_ONGKIR,1415000,1410000
2022-07-12,Electronics,Laser Pointer,1,55000,GRATIS_ONGKIR,55000,50000
2022-07-12,Electronics,Mesin Laminating,3,79950,GRATIS_ONGKIR,239850,234850
2022-07-12,Fashion Wanita,Cardigan Wanita,1,105000,NOT_USED,105000,
2022-07-12,Kitchen Equipment,Pompa Galon,2,110000,NOT_USED,220000,
2022-07-12,Fashion Wanita,Hoodie Wanita,3,100000,GRATIS_ONGKIR,300000,295000
2022-07-12,Make-up,Face Primer,1,84150,GRATIS_ONGKIR,84150,79150
2022-07-12,Make-up,Bedak Wajah,1,159000,GRATIS_ONGKIR,159000,154000
2022-07-12,Electronics,Layar Proyektor,1,110000,NOT_USED,110000,
2022-07-12,Electronics,Mesin Kasir,3,375000,NOT_USED,1125000,
2022-07-13,Fashion Pria,Hoodie  Pria,1,65000,NOT_USED,65000,
2022-07-13,Kitchen Equipment,Pompa Galon,2,25000,GRATIS_ONGKIR,50000,45000
2022-07-13,Electronics,Laser Pointer,2,18400,NOT_USED,36800,
2022-07-13,Medicine,Obat Diabetes,2,25000,NOT_USED,50000,
2022-07-13,Fashion Wanita,Blazer Wanita,2,130000,NOT_USED,260000,
2022-07-13,Fashion Wanita,Kimono Outer Wanita,3,750000,GRATIS_ONGKIR,2250000,2245000
2022-07-13,Fashion Wanita,Cardigan Wanita,1,39900,NOT_USED,39900,
